show_id,Title,Year,Age,IMDb,Rotten Tomatoes
428,Wormwood,2017,16+,7,92%
429,Watership Down,2018,7+,7.2,77%
430,Mr. Sunshine,2018,,8.8,
431,Bitten,2014,16+,7,
432,No Game No Life,2014,16+,7.9,
433,Violet Evergarden,2018,16+,8.4,
434,Clannad,2007,7+,7.9,
435,Gypsy,2017,18+,6.9,38%
436,Virgin River,2019,16+,7.5,
437,Gilmore Girls: A Year in the Life,2016,16+,7.7,
438,The Innocent Man,2018,18+,7.4,73%
439,Tuca & Bertie,2019,16+,7.4,100%
440,#blackAF,2020,18+,6.6,
441,Lovesick,2014,18+,8.1,36%
442,Mr. Iglesias,2019,16+,7.1,88%
443,Hot Girls Wanted: Turned On,2017,18+,6.7,100%
444,Borgia,2011,18+,7.8,
445,Trollhunters: Tales of Arcadia,2016,7+,8.4,
446,La Reina del Sur,2011,18+,8.1,
447,We Bare Bears,2015,7+,7.9,
448,Liv and Maddie,2013,all,6.3,
449,In the Dark,2019,16+,7.3,
450,The Gift,2019,,7.6,
451,The Time in Between,2013,7+,8.4,
452,Cleverman,2016,16+,6.4,86%
453,"Pablo Escobar, The Drug Lord",2012,18+,8.5,
454,The Pharmacist,2020,,7.8,
455,Wet Hot American Summer: First Day of Camp,2015,16+,7.4,
456,Vampire Knight,2008,16+,7.5,
457,The Untamed,2019,7+,8.9,
458,How to Sell Drugs Online (Fast),2019,,7.9,
459,Taken,2017,16+,6.6,32%
460,Transformers: Prime,2010,7+,7.8,
461,Forensic Files,1996,16+,8.8,
462,Paradise PD,2018,18+,7,40%
463,The House of Flowers,2018,18+,7.7,
464,Quicksand,2019,18+,7.5,
465,Magnificent Century,2011,,6.6,
466,The Messengers,2015,16+,6.5,47%
467,Magi,2012,16+,7.9,
468,Car Masters: Rust to Riches,2018,,8.9,
469,Patriot Act with Hasan Minhaj,2018,18+,8.2,
470,Damnation,2017,18+,7.7,64%
471,Jericho,2006,16+,7.2,54%
472,American Odyssey,2015,16+,7.3,54%
473,Lab Rats,2012,7+,6.6,
474,Little Things,2016,18+,8.3,
475,From Dusk Till Dawn: The Series,2014,18+,6.9,
476,Grand Designs,1999,7+,8.5,
477,Explained,2018,16+,8,
478,Rhythm + Flow,2019,18+,7.6,92%
479,Carole & Tuesday,2019,7+,7.9,100%
480,Teresa,2010,7+,7.7,
481,The Innocents,2018,,6.3,81%
482,Tabula Rasa,2017,18+,8.1,
483,Seis Manos,2019,18+,7.3,100%
484,The King: Eternal Monarch,2020,,8.5,
485,Cable Girls,2017,16+,7.7,
486,Lady Dynamite,2016,16+,7.4,97%
487,Sunderland 'Til I Die,2018,18+,8.2,
488,Oliver Stone's Untold History of the United States,2012,all,8.6,
489,Toy Boy,2019,18+,6.5,
490,Humsafar,2011,all,9,
491,Crashing,2016,,7.7,
492,Norsemen,2016,18+,7.8,
493,AJ and the Queen,2020,,7.6,50%
494,El marginal,2016,18+,8.2,
495,Giri/Haji,2019,,7.9,100%
496,Van Helsing,2016,16+,6.2,
497,Hinterland,2013,,7.6,
498,Crossing Lines,2013,16+,7.3,
499,The Eddy,2020,18+,7,68%
500,A.D. The Bible Continues,2015,16+,7.4,58%
501,The Letter for the King,2020,7+,5.9,58%
502,The Boat,2011,all,7.3,
503,Is It Wrong to Try to Pick Up Girls in a Dungeon?,2015,16+,7.4,
504,The Story of God with Morgan Freeman,2016,16+,7.9,
505,Greenhouse Academy,2017,7+,7,
506,Diagnosis,2019,18+,7.8,100%
507,W/ Bob & David,2015,18+,7.4,89%
508,Queen Sono,2020,18+,5.8,100%
509,Rotten,2018,18+,7.1,86%
510,Requiem,2018,18+,6.5,75%
511,Aggretsuko,2018,16+,8,
512,The Code,2011,,7.4,100%
513,October Faction,2020,18+,6.1,33%
514,Rubí,2004,7+,8.1,
515,Arthdal Chronicles,2019,,8.3,
516,The New Legends of Monkey,2018,7+,6.5,100%
517,America's Funniest Home Videos,1989,7+,6.2,
518,The Five,2016,,7.7,
519,Something in the Rain,2018,7+,8.1,
520,Adam Ruins Everything,2015,16+,8,
521,The Heirs,2013,16+,7.5,
522,Durarara!!,2010,16+,7.9,
523,Beastars,2019,16+,8,
524,Puella Magi Madoka Magica,2011,16+,8.3,
525,Vagabond,2019,,8.3,
526,Maid Sama!,2010,16+,8,
527,Robotech,1985,7+,8.5,
528,"The Mind, Explained",2019,16+,8.1,
529,Boys Over Flowers,2009,16+,8,
530,V Wars,2019,18+,6.1,
531,Occupied,2015,16+,7.7,
532,The Devil Is a Part-Timer!,2013,16+,7.7,
533,The Letdown,2017,,7.5,91%
534,Mischievous Kiss: Love in Tokyo,2013,,7.8,
535,Power Rangers,1993,7+,6.4,73%
536,Fate/stay night [Unlimited Blade Works],2014,18+,8,
537,Bobby Kennedy for President,2018,16+,8.2,95%
538,The Mist,2017,18+,5.4,62%
539,Hip Hop Evolution,2016,16+,8.4,
540,Justice League Unlimited,2004,,8.7,
541,Undercover,2019,18+,7.9,
542,Slugterra,2012,7+,6.3,
543,The Final Table,2018,all,7.7,50%
544,Velvet,2014,16+,8.1,
545,Criminal: UK,2019,18+,7.4,
546,Salt Fat Acid Heat,2018,,7.7,100%
547,Suburra: Blood on Rome,2017,16+,8,
548,Signal,2016,,8.8,
549,The Rise of Phoenixes,2018,7+,8.6,
550,The Family,2019,16+,6.4,80%
551,Red vs. Blue,2003,,8.3,
552,Huntik: Secrets & Seekers,2009,7+,8.3,
553,Cells at Work!,2018,16+,7.6,
554,Flaked,2016,18+,7.2,35%
555,The Irregular at Magic High School,2014,16+,7.2,
556,Too Hot to Handle,2020,,4.5,38%
557,The Disastrous Life of Saiki K.,2016,16+,8.3,
558,Wanted,2016,16+,7.7,
559,Dad's Army,1968,7+,8.1,
560,Bad Education,2012,16+,7.4,
561,Angel Beats!,2010,16+,7.7,
562,Dogs,2018,all,8.1,92%
563,Fate/stay night,2006,18+,7.4,
564,Brain Games,2011,7+,8.3,
565,Knights of Sidonia,2014,18+,7.8,
566,Girlboss,2017,18+,7,36%
567,The Trial,2019,,7,75%
568,Call My Agent,2015,7+,8.3,
569,"What's New, Scooby-Doo?",2002,7+,7.2,
570,Teasing Master Takagi-san,2018,7+,7.5,
571,Yu-Gi-Oh!,1998,,7.9,
572,Blue Exorcist,2011,16+,7.5,
573,Black Money Love,2014,,7.2,
574,WHAT / IF,2019,18+,6.3,
575,The Assets,2014,16+,7.5,56%
576,Baki,2018,18+,6.7,
577,Nightflyers,2018,16+,5.9,35%
578,Stranger,2017,,8.6,
579,How to Fix a Drug Scandal,2020,18+,6.9,86%
580,Scissor Seven,2018,7+,8,
581,The Circle France,2020,,7.4,
582,Memories of the Alhambra,2018,16+,7.8,
583,Republic of Doyle,2010,16+,7.2,
584,Sick Note,2017,18+,6.8,50%
585,The Last O.G.,2018,7+,6.9,
586,Night on Earth,2020,7+,8.2,
587,Börü,2018,18+,8.2,
588,Typewriter,2019,18+,6.5,60%
589,Inspector Gadget,1983,7+,6.8,
590,Sofia the First,2013,all,6.9,
591,Hap and Leonard,2016,16+,7.6,
592,Jessie,2011,all,5.9,
593,I Think You Should Leave with Tim Robinson,2019,18+,7.4,93%
594,Kipo and the Age of Wonderbeasts,2020,,8.3,
595,K-ON!,2009,16+,7.6,
596,Thieves of the Wood,2020,18+,6.7,
597,Slasher,2016,18+,6.7,
598,Freud,2020,18+,6.6,50%
599,Between,2015,16+,6,22%
600,Norm Macdonald Has a Show,2018,,8.7,40%
601,Rita,2012,16+,8.1,
602,She's Gotta Have It,2017,18+,6.7,77%
603,The Nineties,2017,7+,8.2,
604,Casanova,2005,16+,7.9,
605,The Good Cop,2018,16+,7,50%
606,Bondi Rescue,2006,7+,7.6,
607,Black Earth Rising,2018,16+,7.4,79%
608,Tidelands,2018,18+,7,
609,Nobel,2016,18+,8.1,
610,Well-Intended Love,2019,,7.5,
611,"Drugs, Inc.",2010,16+,7.8,
612,Midnight Diner: Tokyo Stories,2016,16+,8.4,
613,Zindagi Gulzar Hai,2012,,9,
614,People Just Do Nothing,2014,18+,8.5,
615,"Love, Chunibyo & Other Delusions",2012,16+,7.4,
616,Man Like Mobeen,2017,,7.9,
617,Turn Up Charlie,2019,,7.1,42%
618,Tidying Up with Marie Kondo,2019,7+,6.6,79%
619,Home for Christmas,2019,18+,7.6,
620,Wild District,2018,18+,8.4,
621,Toast of London,2013,16+,8.2,
622,The Standups,2017,,6.7,100%
623,World War II In HD Colour,2009,7+,8.7,
624,Roman Empire,2016,16+,6.9,
625,Pandemic: How to Prevent an Outbreak,2020,16+,6.3,
626,The Windsors,2016,18+,7,90%
627,A Korean Odyssey,2017,,8.1,
628,Charité at War,2017,7+,7.7,
629,The Bernie Mac Show,2001,7+,6.9,
630,Charmed,2018,16+,4.5,
